City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,puerto cabezas,14.0351,-83.3888,26.36,87,2,2.26,NI,1722819096
270,coondapoor,13.6333,74.7,23.95,93,87,1.83,IN,1722819098
271,mojo,8.6,39.1167,16.67,92,100,1.93,ET,1722819099
272,porto novo,6.4965,2.6036,23.98,82,26,3.15,BJ,1722819100
273,riyadh,24.6877,46.7219,32.08,18,100,4.19,SA,1722818823
274,south grafton,-29.7,152.95,18.04,59,100,1.68,AU,1722819102
275,petropavlovsk-kamchatsky,53.0452,158.6483,19.33,60,20,3.0,RU,1722819064
276,mount gambier,-37.8333,140.7667,12.27,52,8,1.54,AU,1722819105
277,saint-philippe,-21.3585,55.7679,18.77,76,31,2.52,RE,1722819106
278,sim,54.993,57.6982,14.5,98,100,1.6,RU,1722819107
279,rabo de peixe,37.8,-25.5833,22.73,88,20,1.54,PT,1722819108
280,lata,40.1629,-8.3327,17.26,97,35,0.93,PT,1722819109
281,amga,60.8953,131.9608,20.42,46,100,4.82,RU,1722819110
282,yarmouth,41.7057,-70.2286,25.56,89,100,7.2,US,1722819111
283,okha,53.5739,142.9478,15.33,61,100,7.8,RU,1722819113
284,sancti spiritus,21.9297,-79.4425,25.3,91,100,1.57,CU,1722819114
285,kapa'a,22.0752,-159.319,29.18,70,20,6.17,US,1722819115
286,krasnovishersk,60.4078,57.082,13.46,99,97,1.36,RU,1722819116
287,manismata,-2.4667,111.0333,26.25,73,18,2.39,ID,1722819117
288,cooma,-36.2333,149.1333,7.13,53,100,1.7,AU,1722819118
289,makar'yev,57.8797,43.8069,13.15,96,70,1.75,RU,1722819119
290,nar'yan-mar,67.6713,53.087,6.16,74,94,6.35,RU,1722819120
291,igarka,67.4667,86.5833,9.55,64,48,6.2,RU,1722819121
292,papao,-17.75,-149.55,26.82,73,6,5.83,PF,1722819124
293,pointe aux piments,-20.0628,57.5131,19.18,85,0,3.67,MU,1722819125
294,tercan,39.7794,40.3925,15.16,65,0,0.57,TR,1722819126
295,thompson,55.7435,-97.8558,21.09,35,40,4.63,CA,1722818877
296,aridaia,40.9731,22.0564,25.08,52,59,4.93,GR,1722819128
297,saltillo,25.4167,-101.0,26.68,45,0,6.17,MX,1722818991
298,betanzos,43.2804,-8.2147,20.51,92,100,2.57,ES,1722819130
299,salalah,17.0151,54.0924,25.05,94,100,1.03,OM,1722819132
300,klaksvik,62.2266,-6.589,12.51,98,100,14.49,FO,1722819133
301,port hedland,-20.3167,118.5667,18.03,55,0,7.2,AU,1722819134
302,colesberg,-30.72,25.0972,4.3,80,1,4.54,ZA,1722819135
303,vila franca do campo,37.7167,-25.4333,23.23,90,2,1.69,PT,1722819136
304,san-pedro,4.7485,-6.6363,24.06,84,100,2.37,CI,1722819137
305,pemangkat,1.1667,108.9667,27.27,80,13,2.46,ID,1722819138
306,mount pearl,47.5166,-52.7813,21.19,95,75,6.69,CA,1722819140
307,smirnykh,49.75,142.8333,17.89,64,100,2.66,RU,1722819141
308,frederikshavn,57.4407,10.5366,14.83,81,64,5.6,DK,1722819142
309,sitka,57.0531,-135.33,25.94,36,0,3.09,US,1722819143
310,toliara,-23.35,43.6667,18.63,61,0,2.31,MG,1722819144
311,mata-utu,-13.2816,-176.1745,27.0,73,100,3.1,WF,1722819145
312,hithadhoo,-0.6,73.0833,28.64,74,100,3.89,MV,1722818769
313,pingliang,35.5392,106.6861,23.26,75,100,1.63,CN,1722819147
314,jincheng,35.5022,112.8328,28.19,58,1,1.92,CN,1722819149
315,salekhard,66.53,66.6019,8.64,65,100,9.43,RU,1722819150
316,sandnessjoen,66.0217,12.6316,16.29,76,30,5.54,NO,1722819151
